team,spell_no,manager,start_date,end_date,matches,stand_in_matches,first_season,last_season,change_timing,wiki_row,wiki_prev_manager,prev_departure,position_at_vacancy,appointment_date,wiki_verified,appointment_type
Watford,10,Claudio Ranieri,2021-10-16,2022-01-21,13,0,2021/22,2021/22,mid_season,78,Xisco Muñoz,sacked,14th,2021-10-04,True,permanent
Watford,11,Roy Hodgson,2022-02-05,2022-05-22,18,0,2021/22,2021/22,mid_season,87,Claudio Ranieri,sacked,19th,2022-01-25,True,permanent
West Brom,1,Alan Irvine,2014-08-16,2014-12-28,19,0,2014/15,2014/15,,,,,,,False,
West Brom,2,Rob Kelly,2015-01-01,2015-01-01,1,0,2014/15,2014/15,mid_season,,,,,,False,caretaker
West Brom,3,Tony Pulis,2015-01-10,2017-11-18,106,0,2014/15,2017/18,mid_season,5,Alan Irvine,sacked,16th,2015-01-01,True,permanent
West Brom,4,Gary Megson,2017-11-25,2017-11-28,2,0,2017/18,2017/18,mid_season,,,,,,False,caretaker
West Brom,5,Alan Pardew,2017-12-02,2018-03-31,18,0,2017/18,2017/18,mid_season,44,Tony Pulis,sacked,17th,2017-11-29,True,permanent
West Brom,6,Darren Moore,2018-04-07,2018-05-13,6,0,2017/18,2017/18,mid_season,49,Alan Pardew,mutual_consent,20th,2018-04-02,True,caretaker
West Brom,7,Slaven Bilic,2020-09-13,2020-12-15,13,0,2020/21,2020/21,between_seasons,,,,,,False,appointed_outside_pl
West Brom,8,Sam Allardyce,2020-12-20,2021-05-23,25,0,2020/21,2020/21,mid_season,70,Slaven Bilić,sacked,19th,2020-12-16,True,permanent
West Ham,1,Sam Allardyce,2014-08-16,2015-05-24,38,0,2014/15,2014/15,,,,,,,False,
West Ham,2,Slaven Bilic,2015-08-09,2017-11-04,87,0,2015/16,2017/18,between_seasons,10,Sam Allardyce,end_of_contract,Pre-season,2015-06-09,True,permanent
West Ham,3,David Moyes,2017-11-19,2018-05-13,27,0,2017/18,2017/18,mid_season,43,Slaven Bilić,sacked,18th,2017-11-07,True,permanent
West Ham,4,Manuel Pellegrini,2018-08-12,2019-12-28,57,0,2018/19,2019/20,between_seasons,52,David Moyes,end_of_contract,Pre-season,2018-05-22,True,permanent
West Ham,5,David Moyes,2020-01-01,2024-05-19,171,0,2019/20,2023/24,mid_season,68,Manuel Pellegrini,sacked,17th,2019-12-29,True,permanent
West Ham,6,Julen Lopetegui,2024-08-17,2025-01-04,20,0,2024/25,2024/25,between_seasons,122,David Moyes,end_of_contract,Pre-season,2024-07-01,True,permanent
West Ham,7,Graham Potter,2025-01-14,2025-09-20,23,0,2024/25,2025/26,mid_season,132,Julen Lopetegui,sacked,14th,2025-01-09,True,permanent
West Ham,8,Nuno Espírito Santo,2025-09-29,2026-05-24,33,0,2025/26,2025/26,mid_season,139,Graham Potter,sacked,19th,2025-09-27,True,permanent
Wolves,1,Nuno Espírito Santo,2018-08-11,2021-05-23,114,0,2018/19,2020/21,,,,,,,False,
Wolves,2,Bruno Lage,2021-08-14,2022-10-01,46,0,2021/22,2022/23,between_seasons,75,Nuno Espírito Santo,mutual_consent,Pre-season,2021-06-09,True,permanent
Wolves,3,Steve Davis,2022-10-08,2022-11-12,7,0,2022/23,2022/23,mid_season,95,Bruno Lage,sacked,18th,2022-10-02,True,caretaker
Wolves,4,Julen Lopetegui,2022-12-26,2023-05-28,23,0,2022/23,2022/23,mid_season,99,Steve Davis,end_of_caretaker,20th,2022-11-14,True,permanent
Wolves,5,Gary O'Neil,2023-08-14,2024-12-14,54,0,2023/24,2024/25,between_seasons,116,Julen Lopetegui,mutual_consent,Pre-season,2023-08-09,True,permanent
Wolves,6,Vítor Pereira,2024-12-22,2025-11-01,32,0,2024/25,2025/26,mid_season,129,Gary O'Neil,sacked,19th,2024-12-19,True,permanent
Wolves,7,Jamie Collins,2025-11-08,2025-11-08,1,0,2025/26,2025/26,mid_season,,,,,,False,caretaker
Wolves,8,Rob Edwards,2025-11-22,2026-05-24,27,0,2025/26,2025/26,mid_season,141,Vítor Pereira,sacked,20th,2025-11-12,True,permanent
